"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SHISA6",57.4046382893987,-5.60650116491123,0.77701748565738,-7.2154118387284,5.37709881905377e-13,1.001269571096e-08
"PLXDC2",2606.72267219617,-1.89276971359843,0.26800921508235,-7.06233072253446,1.63732718930183e-12,1.52443347959947e-08
"TRIB2",3536.08986960927,-1.96234521827007,0.304111740817958,-6.45271114160875,1.09866652674819e-10,6.81942313152602e-07
"SMOC1",31.9511077839974,-4.98078631165758,0.802274131634309,-6.2083346767161,5.35490157755263e-10,2.49284055689019e-06
"ATRNL1",1077.24094213486,-3.76784297583464,0.633633339115899,-5.94640897698323,2.74088833377218e-09,1.02076163326344e-05
"SUSD4",159.6105752989,-2.68956531252129,0.470969687441454,-5.71069727891061,1.12514226756204e-08,3.24053346729605e-05
"ABCA5",1030.3959503763,-1.67014526376011,0.293153890584312,-5.69716219843167,1.2181802411832e-08,3.24053346729605e-05
"ERMP1",3898.0363707705,-2.68009092986301,0.477491294482476,-5.61285820460413,1.99011673340589e-08,4.63224546159389e-05
"SLC16A14",32.055142140486,-2.64392650437105,0.496842147456069,-5.32146179205707,1.02936732542948e-07,0.000190366417256055
"FAM166B",476.064265032158,-3.84853884658387,0.723590196994272,-5.3186718982241,1.04527435427135e-07,0.000190366417256055
"NPR3",2075.80054108074,-3.72640604806394,0.702386105848843,-5.30535273553074,1.12455324086602e-07,0.000190366417256055
"CHRNA6",56.995928641879,-3.46535321481116,0.668188949752946,-5.18618755382355,2.14642652130372e-07,0.000333071735443304
"LAMA5",437.516432462916,-2.46370561550687,0.480942651542873,-5.12265985893173,3.01255499948768e-07,0.000431513743426616
"FRMPD2",17.5773534125311,-7.60346084652066,1.499611692682,-5.07028645056918,3.97217392147048e-07,0.000528327504226441
"PTPRVP",204.353032926323,-3.33632390821959,0.665319005919592,-5.01462287795039,5.31375849213499e-07,0.000659649979213638
"HAS1",38.1512885362539,2.90591251165468,0.584054975975089,4.97540921863257,6.51099432181994e-07,0.000694627975131845
"AC022509.2",22.1827619134094,5.01115626066362,1.00799803465172,4.97139487220832,6.64729057285244e-07,0.000694627975131845
"IL1B",5495.24073345147,3.87481305938064,0.77972817893216,4.96944084371455,6.71462518252146e-07,0.000694627975131845
"TAP2",10.3366775788024,6.81994598669225,1.37890864600933,4.94590124329824,7.57923786791009e-07,0.000723790072464548
"IL1A",521.057434319016,3.42890065073833,0.695031557055473,4.93344599382652,8.07913882814545e-07,0.000723790072464548
"HSPB6",82.3949708832602,-3.42002246006158,0.693514101694377,-4.93143895950474,8.16260755155766e-07,0.000723790072464548
"AC139491.7",73.4194351919503,-1.81874046906568,0.374545507392217,-4.85585979051975,1.19865496586567e-06,0.00101455245997203
"SCAP",3701.52817093796,-1.28017031399784,0.267980993284701,-4.77709369723023,1.77846916909207e-06,0.00143986410424624
"TBC1D5",2153.03578842825,-1.65332121189943,0.347374777151346,-4.75947397637079,1.94098148095984e-06,0.00150595900653971
