"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS10-NUDT3",1543.09529157499,-7.55560731137299,0.585147113703643,-12.9123209094382,3.83563181702944e-38,7.92479889716453e-34
"HLA-DQB1",246.521025996742,-5.15381306543547,0.614282558511991,-8.3899713479084,4.86260666673967e-17,5.02331581707541e-13
"CSF2RB",120.809417061969,7.68434433277454,1.02669341659551,7.48455596243678,7.17894394075074e-14,4.94413869199503e-10
"AQP9",157.338633028871,4.38710089963406,0.665264291712735,6.59452334100089,4.26624294170347e-11,2.20362113546338e-07
"CSF3R",577.775588841163,3.35999145529803,0.533853976402171,6.29383989596218,3.09707268405272e-10,1.27977237450426e-06
"SELL",138.896951781748,4.95395343751434,0.798559416118266,6.20361282770306,5.51814456050426e-10,1.90017307940964e-06
"FPR2",32.9977085201805,8.52227657662922,1.44869079831748,5.88274363758439,4.03520700854412e-09,1.04845535667546e-05
"PTPRC",179.765690721233,4.60945890750536,0.783689092126111,5.88174437263139,4.05964999438733e-09,1.04845535667546e-05
"SORL1",202.110239331041,3.49677543940138,0.618858905617638,5.65035973088486,1.60112413343391e-08,3.67564730231978e-05
"CYTIP",27.8787597660335,8.27885542381803,1.49608051966653,5.53369642541923,3.13551475173803e-08,6.47828702856595e-05
"MGAM",44.4074081847529,6.26520466067305,1.16130250394815,5.39498075598122,6.8530897056663e-08,0.000128719714917065
"PROK2",32.3878240849531,8.49436854440181,1.61340927268147,5.26485665368979,1.40298783369607e-07,0.00024155943026662
"TREM1",169.541892761439,3.69392923121158,0.706968408114165,5.22502729798793,1.74129418397026e-07,0.000276745224115458
"FCGR2A",161.816893670746,4.25096993940787,0.819184938649177,5.18926769627583,2.11122703698735e-07,0.000311571870079969
"FGD4",198.941492074468,2.57460706703626,0.500630757672229,5.14272650567326,2.707796730644e-07,0.000367657369271624
"NCF2",158.625245190617,4.48558771658577,0.875530559022673,5.12327944508629,3.00266828230095e-07,0.000367657369271624
"USP32P1",48.9897546313604,8.12329139996621,1.58599922702681,5.12187601452653,3.0251078251864e-07,0.000367657369271624
"NFE2",45.8826984247465,6.32500175099899,1.23873048221169,5.10603544663405,3.28988003880606e-07,0.000377623397120956
"SEMA3F",90.7186332643111,-4.22894555453726,0.830046434391568,-5.09483009542365,3.49054153422425e-07,0.000379568834940038
"AC005540.1",46.5368321713281,5.36969886432098,1.0597375328122,5.06700829031838,4.04116689296699e-07,0.000417472745877955
"HBB",40296.6300015452,7.99346767847455,1.58066639877932,5.0570238506035,4.25849996707225e-07,0.000418975561046094
"CST7",42.8734763901237,7.15458610647909,1.42746572614676,5.0120895902642,5.38421237319754e-07,0.000485697268571723
"AC004922.1",198.849329073521,3.67058352391765,0.733266192609934,5.00579947761241,5.56306467206088e-07,0.000485697268571723
"CD48",36.4480440278543,6.91552252014223,1.3828263806852,5.00100563363243,5.70320458974198e-07,0.000485697268571723
"RAC2",130.490173671679,3.79988922180646,0.761978918588613,4.98686922840972,6.13655709206282e-07,0.000485697268571723
"CCL5",58.9493576443701,6.13894162039951,1.23191136473188,4.98326567653317,6.25200142429649e-07,0.000485697268571723
"HOXD9",70.5673022641021,-3.91145337631972,0.785378179193947,-4.98034383936429,6.34714014396036e-07,0.000485697268571723
