"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"RPS10-NUDT3",1543.09529157499,-7.55560731137299,0.585147113703643,-12.9123209094382,3.83563181702944e-38,7.92479889716453e-34,37.4161630875041,"DOWN"
"HLA-DQB1",246.521025996742,-5.15381306543547,0.614282558511991,-8.3899713479084,4.86260666673967e-17,5.02331581707541e-13,16.3131308588244,"DOWN"
"SEMA3F",90.7186332643111,-4.22894555453726,0.830046434391568,-5.09483009542365,3.49054153422425e-07,0.000379568834940038,6.45710718992314,"DOWN"
"HOXD9",70.5673022641021,-3.91145337631972,0.785378179193947,-4.98034383936429,6.34714014396036e-07,0.000485697268571723,6.19742191241919,"DOWN"
"H19",13634.6637291197,-2.81249333291865,0.604907879955206,-4.64945725806534,3.32809640692949e-06,0.00176312307342488,5.47780410173496,"DOWN"
"N4BP3",323.343383663865,-3.35832625442015,0.733079099468832,-4.58112399719689,4.62483514512601e-06,0.0022221795100802,5.33490374332238,"DOWN"
"NPY1R",138.395629843032,-2.85561639498248,0.629790527103265,-4.53423205350031,5.78134414940509e-06,0.00252949771644834,5.23797117735747,"DOWN"
"TSPYL2",3016.97169588669,-1.98779416713308,0.440463664481514,-4.51295833783016,6.39295838020052e-06,0.00264169826186646,5.19429812292545,"DOWN"
"S100A9",1183.44436053137,-3.67791818363881,0.816397443821839,-4.50505842647081,6.6354683243915e-06,0.00268814531471084,5.17812841966899,"DOWN"
"C20orf204",95.4486438200189,-3.51503359798576,0.781999819612274,-4.49492891152911,6.95931928957308e-06,0.00276512492003595,5.15743323786643,"DOWN"
"SULT1A4",197.639530154293,-3.19547124294782,0.720528780910844,-4.4348974358919,9.21161334902099e-06,0.00327882053594789,5.03566429953007,"DOWN"
"RPL10P9",807.108763355472,-6.26402598540334,1.41272510805505,-4.43400202182805,9.24997577933481e-06,0.00327882053594789,5.03385940444097,"DOWN"
"NPY5R",58.9617718877369,-3.19156954041923,0.722857475211116,-4.41521274921741,1.00910696704435e-05,0.00341789492559072,4.99606279537374,"DOWN"
"BRICD5",211.617094369277,-2.00100476802852,0.458426693222842,-4.36493947148018,1.27157963389122e-05,0.00404186258705024,4.89565643652912,"DOWN"
"SH3BP5",4195.3315284038,-1.75532463080244,0.40395534171921,-4.34534328307651,1.39058022307783e-05,0.00420698221122576,4.85680395147078,"DOWN"
"PRND",171.835240494909,-2.56806277513041,0.591201877968729,-4.3438000974453,1.40038954521122e-05,0.00420698221122576,4.85375114017637,"DOWN"
"DDX19A",847.012628926422,-1.8038826423188,0.415707696376205,-4.33930537741676,1.42933787276124e-05,0.00421879282701714,4.84486509875881,"DOWN"
"NPIPB6",53.761270608647,-3.89766981135681,0.908288757495667,-4.29122322520369,1.776915786571e-05,0.0051708249389216,4.75033315423981,"DOWN"
"PYY2",209.929276550602,-2.21968916002282,0.522206663903508,-4.25059524026482,2.13203152407143e-05,0.00595268963768105,4.67120637814966,"DOWN"
"P3H3",162.617894007604,-1.8802166511108,0.444630770437806,-4.22871464622081,2.35030217400047e-05,0.00638942016013471,4.62887629770083,"DOWN"
"AC023300.2",174.350138846918,-2.16042657049821,0.514200035407011,-4.20152940827424,2.65117798999054e-05,0.00711376473392136,4.57656111441106,"DOWN"
"FAM153C",285.338829736461,-3.40360040430711,0.814852377067506,-4.17695339682998,2.95439525997865e-05,0.00760955842148581,4.52953140213706,"DOWN"
"OR2A12",31.9270801928796,-5.25986323551864,1.26077001124828,-4.17194507213167,3.02010449911348e-05,0.00760955842148581,4.5199780296908,"DOWN"
"AL121845.1",24.8547407726463,-5.00848843886137,1.2024702876587,-4.1651660671078,3.11126010867277e-05,0.00774478856690218,4.50706367933195,"DOWN"
"MVD",12773.8460582656,-2.10736901085343,0.508307168190263,-4.14585735305748,3.38544551036912e-05,0.00812595434297789,4.47038417189357,"DOWN"
"AC120498.10",12.04741867016,-7.0295466878881,1.6963991667186,-4.14380461025902,3.41590817639574e-05,0.00812595434297789,4.4664938121694,"DOWN"
"LRRC10B",68.6457469058143,-2.57788576354594,0.623729866366501,-4.1330163946826,3.58033176556763e-05,0.00840604938731736,4.446076728306,"DOWN"
"SCX",142.075497173498,-2.62330556983292,0.647139061289075,-4.0536968431598,5.04145408303324e-05,0.0109643666115316,4.29744418395954,"DOWN"
"AL356273.2",47.733656235785,-4.0902083987487,1.01099301391422,-4.04573359306689,5.21595244391131e-05,0.0112257076503804,4.28266637690824,"DOWN"
"CACNA1H",2926.94579021728,-2.57449512074995,0.636833373604,-4.04265107241512,5.28502393254358e-05,0.0112571009763178,4.27695304170602,"DOWN"
"AP003119.3",301.8510001265,-1.8100828504534,0.448132521575057,-4.03916869075129,5.36409776216455e-05,0.0112586178921745,4.27050331561132,"DOWN"
"LRRC38",58.1185564715277,-2.58062608934573,0.64300950883686,-4.01335602954586,5.98615192477399e-05,0.0119124655721434,4.22285226523493,"DOWN"
"ADM5",181.557978100649,-2.13633969321258,0.532360580538966,-4.01295620169647,5.99630424230632e-05,0.0119124655721434,4.22211633989936,"DOWN"
"PCSK6-AS1",23.7879314674396,-6.24922097134963,1.56374521891949,-3.9963165966817,6.43356815539663e-05,0.0126594239674904,4.19154809388829,"DOWN"
"MYOG",13.3850439284851,-7.16176835181947,1.79686818719403,-3.98569489006492,6.72829252093019e-05,0.0131144577146168,4.17209513530406,"DOWN"
"SERBP1P3",18.4995994263342,-7.63420758801061,1.92117225780466,-3.9737236247281,7.07576624537717e-05,0.0133024752853704,4.15022652285385,"DOWN"
"ATP2A3",861.672386235023,-2.24445706594922,0.565067493461394,-3.97201589530572,7.12669631504103e-05,0.0133024752853704,4.1471117470978,"DOWN"
"AC100827.3",226.928234328565,-3.23175813934033,0.813768332473328,-3.97134910560832,7.14667613705102e-05,0.0133024752853704,4.14589589819525,"DOWN"
"FTCD",152.604569524897,-2.98178884362944,0.753262325579035,-3.95849990418321,7.5421971338332e-05,0.0138503201996417,4.12250212042986,"DOWN"
"RPL13P5",748.511522814028,-2.64653942536827,0.669030447255822,-3.95578323262213,7.62843086070468e-05,0.0138503201996417,4.11756478558643,"DOWN"
"AC138811.1",14.6161623490367,-7.29000295963361,1.85096769396926,-3.93848200775497,8.19987417196098e-05,0.0144801367749475,4.08619281186534,"DOWN"
"PPFIA3",361.799890363997,-1.56284925188711,0.399786474902351,-3.90920991579029,9.25984750678235e-05,0.0158113809369942,4.0333961653168,"DOWN"
"MIB2",4177.0830815302,-1.60111972398901,0.411616394544225,-3.8898346742527,0.000100312538624409,0.0168500598416171,3.99864477869396,"DOWN"
"KCNK3",10969.2703989171,-1.37705274594963,0.354657398697611,-3.88276897932063,0.000103273676739917,0.0169344240882811,3.98601036099174,"DOWN"
"AP003068.4",105.771859047133,-2.30375481519436,0.593752813677504,-3.87998972320769,0.00010446087832137,0.0169942221023452,3.98104632687619,"DOWN"
"AGER",400.734186762095,-1.65532272736408,0.427315038954625,-3.87377596494995,0.000107161932441783,0.0171787190178472,3.96995946339869,"DOWN"
"RN7SL589P",13.7646410919938,-7.20279600740034,1.86038164680128,-3.8716765561436,0.000108089321539138,0.0171787190178472,3.96621720915216,"DOWN"
"MT-TV",575.199985944579,-2.34146581803859,0.606122607842067,-3.86302340111473,0.000111992274894342,0.0174198707040143,3.95081193345899,"DOWN"
"ACTA1",69.3088522196474,-2.96288956837655,0.767412925860066,-3.86088045761796,0.000112979172079663,0.0174198707040143,3.94700161213245,"DOWN"
"SULT1A3",153.779284772944,-2.45332697719077,0.636389904643877,-3.85506897467779,0.00011569700484811,0.0177067838308652,3.93667788387258,"DOWN"
"BEST1",1520.36872823576,-1.62138829390689,0.420985211372236,-3.85141389794155,0.000117437820796399,0.0177108234706161,3.93019201622296,"DOWN"
"SLC26A10",110.31721241631,-3.57817786074036,0.930342780294794,-3.84608548217739,0.000120019905616789,0.0179385831708379,3.92074671909737,"DOWN"
"RNF208",837.491612320437,-1.59652736951526,0.415258954156909,-3.84465489192559,0.000120722213273793,0.0179385831708379,3.91821281097448,"DOWN"
"SNAI3-AS1",495.012434174249,-1.78710840436461,0.469213348478242,-3.80873308519585,0.000139680638320158,0.0196322562471618,3.85486378897149,"DOWN"
"GPX3",935.67223326562,-2.86685830329865,0.754074086430632,-3.80182578195832,0.000143633715198737,0.0200514607413588,3.84274360601201,"DOWN"
"MAP7D2",118.386836680451,-2.8570831182977,0.75509538636997,-3.78373801491859,0.000154490443136405,0.0211385897062335,3.81109838110321,"DOWN"
"MT-TR",261.756251299668,-3.01879139021984,0.798840773529241,-3.77896508322047,0.000157481502145763,0.0214060876041684,3.80277045132082,"DOWN"
"SLC22A31",42.2600102325968,-2.56042289754858,0.679521378642495,-3.76797990177091,0.000164573948970301,0.0220796257121778,3.78363890979114,"DOWN"
"RTN4R",9.23384184836295,-6.64368037253516,1.77046198603776,-3.7525122961852,0.000175071241983873,0.0233364318105083,3.7567851872886,"DOWN"
"CNNM1",55.2709918911626,-2.45852200167448,0.657069940944103,-3.7416443037129,0.00018282015214313,0.0240864437318455,3.73797593397319,"DOWN"
