"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"CSF2RB",120.809417061969,7.68434433277454,1.02669341659551,7.48455596243678,7.17894394075074e-14,4.94413869199503e-10,13.1439394379913,"UP"
"AQP9",157.338633028871,4.38710089963406,0.665264291712735,6.59452334100089,4.26624294170347e-11,2.20362113546338e-07,10.3699544172323,"UP"
"CSF3R",577.775588841163,3.35999145529803,0.533853976402171,6.29383989596218,3.09707268405272e-10,1.27977237450426e-06,9.50904860222713,"UP"
"SELL",138.896951781748,4.95395343751434,0.798559416118266,6.20361282770306,5.51814456050426e-10,1.90017307940964e-06,9.25820692636373,"UP"
"FPR2",32.9977085201805,8.52227657662922,1.44869079831748,5.88274363758439,4.03520700854412e-09,1.04845535667546e-05,8.39413418080254,"UP"
"PTPRC",179.765690721233,4.60945890750536,0.783689092126111,5.88174437263139,4.05964999438733e-09,1.04845535667546e-05,8.39151140781656,"UP"
"SORL1",202.110239331041,3.49677543940138,0.618858905617638,5.65035973088486,1.60112413343391e-08,3.67564730231978e-05,7.79557499639082,"UP"
"CYTIP",27.8787597660335,8.27885542381803,1.49608051966653,5.53369642541923,3.13551475173803e-08,6.47828702856595e-05,7.50369115164725,"UP"
"MGAM",44.4074081847529,6.26520466067305,1.16130250394815,5.39498075598122,6.8530897056663e-08,0.000128719714917065,7.16411358331162,"UP"
"PROK2",32.3878240849531,8.49436854440181,1.61340927268147,5.26485665368979,1.40298783369607e-07,0.00024155943026662,6.85294609503121,"UP"
"TREM1",169.541892761439,3.69392923121158,0.706968408114165,5.22502729798793,1.74129418397026e-07,0.000276745224115458,6.75912785054729,"UP"
"FCGR2A",161.816893670746,4.25096993940787,0.819184938649177,5.18926769627583,2.11122703698735e-07,0.000311571870079969,6.67546506105097,"UP"
"FGD4",198.941492074468,2.57460706703626,0.500630757672229,5.14272650567326,2.707796730644e-07,0.000367657369271624,6.56738394045699,"UP"
"NCF2",158.625245190617,4.48558771658577,0.875530559022673,5.12327944508629,3.00266828230095e-07,0.000367657369271624,6.52249264353315,"UP"
"USP32P1",48.9897546313604,8.12329139996621,1.58599922702681,5.12187601452653,3.0251078251864e-07,0.000367657369271624,6.51925914099535,"UP"
"NFE2",45.8826984247465,6.32500175099899,1.23873048221169,5.10603544663405,3.28988003880606e-07,0.000377623397120956,6.48281993774437,"UP"
"AC005540.1",46.5368321713281,5.36969886432098,1.0597375328122,5.06700829031838,4.04116689296699e-07,0.000417472745877955,6.39349321360141,"UP"
"HBB",40296.6300015452,7.99346767847455,1.58066639877932,5.0570238506035,4.25849996707225e-07,0.000418975561046094,6.37074335177653,"UP"
"CST7",42.8734763901237,7.15458610647909,1.42746572614676,5.0120895902642,5.38421237319754e-07,0.000485697268571723,6.26887781826982,"UP"
"AC004922.1",198.849329073521,3.67058352391765,0.733266192609934,5.00579947761241,5.56306467206088e-07,0.000485697268571723,6.25468589124452,"UP"
"CD48",36.4480440278543,6.91552252014223,1.3828263806852,5.00100563363243,5.70320458974198e-07,0.000485697268571723,6.24388104878973,"UP"
"RAC2",130.490173671679,3.79988922180646,0.761978918588613,4.98686922840972,6.13655709206282e-07,0.000485697268571723,6.2120752209257,"UP"
"CCL5",58.9493576443701,6.13894162039951,1.23191136473188,4.98326567653317,6.25200142429649e-07,0.000485697268571723,6.20398093171427,"UP"
"TNFRSF10C",102.631296751187,3.46360981385217,0.699685646915238,4.95023705162807,7.41231420367154e-07,0.000546949370578777,6.13004617947341,"UP"
"F13A1",25.6615863083892,8.1600533942446,1.65658584754224,4.92582585221956,8.40047905544648e-07,0.000598490681946827,6.07569594665186,"UP"
"PECAM1",102.292574544472,4.42826575929797,0.90375735586102,4.89983924399609,9.59151017266019e-07,0.000660567305591107,6.01811300826019,"UP"
"CD93",81.9446693041585,5.07169880219595,1.04673097510608,4.84527440461191,1.26436805677184e-06,0.000820034583357398,5.89812648478988,"UP"
"MMP25",213.050819780401,2.99559138593548,0.61836430002103,4.84437957662433,1.27007921530597e-06,0.000820034583357398,5.89616919109334,"UP"
"ITGAX",299.277621917189,2.41365234760871,0.500451500978896,4.8229495623203,1.41450748731062e-06,0.000885610278646206,5.8493947493812,"UP"
"FPR1",256.410005282724,3.42876548991737,0.714921270526108,4.79600430323488,1.61861804208505e-06,0.000983596099044681,5.79085562301037,"UP"
"SLPI",19.1193824047233,7.73465167804883,1.62497464547233,4.75985991510694,1.93727372071848e-06,0.00114360035267899,5.71280901273511,"UP"
"MME",17.7147108406582,7.62576382836312,1.61238634438523,4.72948921635197,2.25085409549947e-06,0.00129180267964207,5.64765265585384,"UP"
"VNN2",82.7301766498765,3.67354731157344,0.780792997110073,4.7048927502811,2.53999445240559e-06,0.00141834663192302,5.59516723192033,"UP"
"VCL",8078.66463469035,1.66556117592415,0.356934979817359,4.6662873355153,3.0669075101788e-06,0.00166750989652116,5.51329932099327,"UP"
"PI3",16.5538383024909,7.52170544495477,1.62097603788767,4.6402323471459,3.48017661561849e-06,0.00179759822638234,5.45839871546658,"UP"
"TRBC2",18.4610034461019,7.68558419693063,1.66757870752742,4.6088284542361,4.04944265597509e-06,0.0020406227979293,5.39260474668437,"UP"
"TRIM58",63.2715815225876,3.6716446752643,0.801134164573,4.58305841596615,4.58223961530707e-06,0.0022221795100802,5.33892220434681,"UP"
"CLEC7A",36.334035180785,4.41634707689238,0.967870941885306,4.56295037465411,5.0439740201766e-06,0.00236848970979247,5.29722715899884,"UP"
"NCF1",109.031746133651,3.38168004386844,0.742738415278748,4.55298928169658,5.28889687503942e-06,0.0024283088518931,5.27663490094055,"UP"
"NLRP12",15.90547702861,7.46937721137182,1.64881901952794,4.53013770638717,5.89452536710876e-06,0.00252949771644834,5.22955115897335,"UP"
"LCP2",81.8132126899745,4.59802429946156,1.01547891976583,4.5279367301114,5.95624086651261e-06,0.00252949771644834,5.22502774797793,"UP"
"NFAM1",120.460252474977,3.6599980370972,0.808584801141271,4.52642447883181,5.99900237674695e-06,0.00252949771644834,5.22192096599922,"UP"
"HCK",124.724047358293,3.62104345686016,0.808449805160066,4.47899601650993,7.49949330270192e-06,0.00292352888919103,5.12496807837821,"UP"
"APEX1",1061.57084954879,1.73114027695488,0.387127741924937,4.47175464188393,7.7580408639732e-06,0.00296831263501019,5.11024793716812,"UP"
"FGR",125.423707675536,3.21069789149268,0.719330984155288,4.46345001426988,8.06504195738728e-06,0.00302966967057416,5.0933933689056,"UP"
"FCGR3B",238.554120136647,3.65459449103472,0.820784912420744,4.45256051339468,8.48523158039225e-06,0.00313059588718722,5.07133630034524,"UP"
"TREML2",16.0669312854313,7.48601600926531,1.68931829890657,4.43138277381516,9.36307108179302e-06,0.00327882053594789,5.02858167956136,"UP"
"S100P",14.9482906710056,7.3816625173783,1.67009551496722,4.41990440140975,9.87445737401118e-06,0.00340026939674075,5.00548676060759,"UP"
"VNN3",12.7094128546745,7.14224481944044,1.6208055353899,4.40660194174515,1.05004900761558e-05,0.00349920363650735,4.97879043117736,"UP"
"ST8SIA4",14.8980180246487,7.37413826005324,1.67586845879355,4.40018918033809,1.08156544918246e-05,0.00354701964215218,4.9659471948021,"UP"
"TLR2",59.7077062393588,3.03023935223395,0.692382575946426,4.37653900820927,1.20578620228212e-05,0.00389261698833608,4.91872969004026,"UP"
"FGL2",65.4818440232635,3.97303975265338,0.912327816734857,4.35483789902685,1.33165423279701e-05,0.00416868304603318,4.87560852612812,"UP"
"NFATC2",47.3930454223803,4.83151661327745,1.11246258662947,4.34308233943933,1.40497445706683e-05,0.00420698221122576,4.85233157131461,"UP"
"LCP1",368.275633648455,2.7920071605298,0.651192494951051,4.28752969694418,1.80671109538721e-05,0.00518450804747156,4.74311128834128,"UP"
"CORO1A",310.015648659351,3.49128623130438,0.818333108800191,4.26633872412076,1.98707018266853e-05,0.00562395301974171,4.70178679348033,"UP"
"CD300A",45.13747316564,4.89579160659838,1.1555261214459,4.23685065680065,2.26676796464534e-05,0.00624449238900499,4.64459293370306,"UP"
"SPI1",208.022133192906,2.89126460246878,0.689185912819755,4.1951881904251,2.72645121578282e-05,0.0072219498165755,4.56440226871102,"UP"
"EVI2A",13.7072161825254,7.25369166960922,1.73449978885193,4.18200781356707,2.88946037230548e-05,0.00755685325977261,4.53918325731702,"UP"
"ITGB2",469.59804285094,2.8399902196296,0.680641060028389,4.17252262082329,3.01245680499576e-05,0.00760955842148581,4.5210791716325,"UP"
"CD53",51.3591157118526,3.59571014236985,0.866479127762075,4.14979429643825,3.32774190411261e-05,0.00812595434297789,4.47785036446255,"UP"
"CXCR2",174.817714567566,3.38658902702808,0.817342247056328,4.1434161016697,3.42170285968286e-05,0.00812595434297789,4.46575770724469,"UP"
"RGL4",12.5347807206776,7.12857014470641,1.73138050990078,4.11727526326083,3.83378074406069e-05,0.00889997123067842,4.41637272827783,"UP"
"CD3E",14.8163642903083,7.36837282615172,1.8041023333967,4.08423219113009,4.42227952962564e-05,0.0101520797068439,4.35435380939704,"UP"
"FCAR",37.5517357125151,4.05928681518533,0.994834269823072,4.08036487917456,4.49650615288782e-05,0.0102090454532764,4.34712480797422,"UP"
"MNDA",505.868430405879,3.11853384130576,0.765865700110835,4.07190691638814,4.66298147216491e-05,0.0104719413256956,4.33133631016261,"UP"
"CD37",60.9762473630011,3.92935160764035,0.965675093823243,4.06902034936357,4.72112242824257e-05,0.0104885065042924,4.3259547372894,"UP"
"ARHGDIB",208.426100280522,2.88771522510354,0.710888162876774,4.06212309601235,4.86284216805889e-05,0.0106884236206665,4.31310982598055,"UP"
"CYTH4",131.00710000897,3.1163480214064,0.771787222787057,4.03783313508706,5.39472034908901e-05,0.0112586178921745,4.26803106330643,"UP"
