"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"MMD",1873.60307308018,2.27371868372425,0.141259040636891,16.0960932020549,2.71729276361255e-58,5.55251603316588e-54,57.5658635677758,"UP"
"RNF214",606.313078706228,1.88687966561814,0.143838464019798,13.1180465425328,2.59539001894934e-39,2.65170998236054e-35,38.5857973698579,"UP"
"PORCN",3489.70706546659,1.91399990078488,0.164345271497852,11.6462121686896,2.39886336415713e-31,1.63394579943956e-27,30.6199944881233,"UP"
"RHOU",1474.83360449294,1.62408687588459,0.140412413487882,11.5665476829422,6.08834856919199e-31,3.11023286657173e-27,30.2155004913651,"UP"
"FKBP11",2671.8235445936,2.91735674969663,0.260694038663341,11.1907305769431,4.52688209584119e-29,1.85004617492838e-25,28.3442008167025,"UP"
"CLDN11",1241.00759043373,1.76108111285254,0.158435887858977,11.1154179564422,1.05555193209242e-28,3.59485803006275e-25,27.9765203949794,"UP"
"AC073610.2",1695.36697738409,2.3919270762448,0.218532641012366,10.9453995758439,6.99087946056539e-28,2.04073758424562e-24,27.1554681860791,"UP"
"NFKBIA",1320.66545777721,1.67725764182056,0.153763786184634,10.9080147116472,1.05535912050729e-27,2.69565103355575e-24,26.9765997322945,"UP"
"CTSC",1752.37239669784,2.59302400538916,0.248993773091774,10.4140114557541,2.14009300866526e-25,4.85896228211845e-22,24.6695673517572,"UP"
"TNFAIP3",829.447115230055,2.65822205049582,0.257780028867953,10.3119782481578,6.22074402130593e-25,1.15558803028514e-21,24.2061576691639,"UP"
"KCTD12",455.764713645936,2.10539396976508,0.206464246198513,10.1973780377488,2.03697348007448e-24,3.46862634098682e-21,23.6910146251639,"UP"
"HSBP1L1",323.245548602178,1.75674636554305,0.172717390608867,10.1712187716022,2.66552272238115e-24,4.18979163916434e-21,23.5742176109583,"UP"
"CARHSP1",1070.29125953359,2.18372762161537,0.220308875794881,9.91211821918847,3.68744076955859e-23,5.38208319179715e-20,22.4332749469217,"UP"
"CIART",83.0384131558095,2.83431459246998,0.286781571756887,9.88318243430478,4.92436628277456e-23,6.70830004148102e-20,22.307649650974,"UP"
"ID4",3868.76176348864,2.87435167225377,0.296558199147143,9.69236959396157,3.24901593386067e-22,4.14939947453181e-19,21.4882481587779,"UP"
"INHA",2730.07322398816,1.41329524162986,0.148517163990924,9.51603978726814,1.79904623232559e-21,2.01132187184761e-18,20.7449576759063,"UP"
"UAP1",2393.26546455633,1.37562245416604,0.146561712667148,9.38596055635746,6.23455370408355e-21,6.36984351946216e-18,20.2051946297221,"UP"
"TRIB1",142.964730063278,2.06564573382992,0.221102469623323,9.34248150800404,9.41022821369867e-21,9.15660015803422e-18,20.0263998440809,"UP"
"NQO1",235.081084566107,2.00420170709757,0.218776192112354,9.16096805482516,5.14338210260653e-20,4.77726681293918e-17,19.28875121068,"UP"
"CDC14B",535.06944228589,1.61159029636266,0.17940323287601,8.98306162340157,2.63334954787563e-19,2.3395593330996e-16,18.5794914893034,"UP"
"AC022167.2",759.380507379159,2.04456145346683,0.232197812511916,8.80525716994815,1.30552891609098e-18,1.11154907797513e-15,17.884213504569,"UP"
"SHCBP1",513.984211274698,2.33469342219751,0.267450006587119,8.72945733668176,2.55897460657478e-18,2.09160348442996e-15,17.5919340237178,"UP"
"PTGES",1436.47994810101,2.59262400704064,0.30626186347547,8.46538311241057,2.55312050863793e-17,1.93223942494472e-14,16.5929286857828,"UP"
"SDC2",790.610952132044,1.430241721319,0.169075162041757,8.45920656853056,2.69202816290826e-17,1.96460369574527e-14,16.5699204010113,"UP"
"ID2",2479.18063714479,2.62468400301105,0.312561335774827,8.39734062597527,4.56703784422303e-17,3.11325206329478e-14,16.3403653896478,"UP"
