"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"SHISA6",57.4046382893987,-5.60650116491123,0.77701748565738,-7.2154118387284,5.37709881905377e-13,1.001269571096e-08,12.269451982088,"DOWN"
"PLXDC2",2606.72267219617,-1.89276971359843,0.26800921508235,-7.06233072253446,1.63732718930183e-12,1.52443347959947e-08,11.7858645262633,"DOWN"
"TRIB2",3536.08986960927,-1.96234521827007,0.304111740817958,-6.45271114160875,1.09866652674819e-10,6.81942313152602e-07,9.95913410700329,"DOWN"
"SMOC1",31.9511077839974,-4.98078631165758,0.802274131634309,-6.2083346767161,5.35490157755263e-10,2.49284055689019e-06,9.27124850703915,"DOWN"
"ATRNL1",1077.24094213486,-3.76784297583464,0.633633339115899,-5.94640897698323,2.74088833377218e-09,1.02076163326344e-05,8.56210865764344,"DOWN"
"SUSD4",159.6105752989,-2.68956531252129,0.470969687441454,-5.71069727891061,1.12514226756204e-08,3.24053346729605e-05,7.94879256012084,"DOWN"
"ABCA5",1030.3959503763,-1.67014526376011,0.293153890584312,-5.69716219843167,1.2181802411832e-08,3.24053346729605e-05,7.91428844901018,"DOWN"
"ERMP1",3898.0363707705,-2.68009092986301,0.477491294482476,-5.61285820460413,1.99011673340589e-08,4.63224546159389e-05,7.70112144862187,"DOWN"
"SLC16A14",32.055142140486,-2.64392650437105,0.496842147456069,-5.32146179205707,1.02936732542948e-07,0.000190366417256055,6.98742962140826,"DOWN"
"FAM166B",476.064265032158,-3.84853884658387,0.723590196994272,-5.3186718982241,1.04527435427135e-07,0.000190366417256055,6.98076970485629,"DOWN"
"NPR3",2075.80054108074,-3.72640604806394,0.702386105848843,-5.30535273553074,1.12455324086602e-07,0.000190366417256055,6.94901997849694,"DOWN"
"CHRNA6",56.995928641879,-3.46535321481116,0.668188949752946,-5.18618755382355,2.14642652130372e-07,0.000333071735443304,6.66828397414869,"DOWN"
"LAMA5",437.516432462916,-2.46370561550687,0.480942651542873,-5.12265985893173,3.01255499948768e-07,0.000431513743426616,6.52106501553543,"DOWN"
"FRMPD2",17.5773534125311,-7.60346084652066,1.499611692682,-5.07028645056918,3.97217392147048e-07,0.000528327504226441,6.40097174419446,"DOWN"
"PTPRVP",204.353032926323,-3.33632390821959,0.665319005919592,-5.01462287795039,5.31375849213499e-07,0.000659649979213638,6.27459818796047,"DOWN"
"HSPB6",82.3949708832602,-3.42002246006158,0.693514101694377,-4.93143895950474,8.16260755155766e-07,0.000723790072464548,6.08817108335971,"DOWN"
"AC139491.7",73.4194351919503,-1.81874046906568,0.374545507392217,-4.85585979051975,1.19865496586567e-06,0.00101455245997203,5.92130581105066,"DOWN"
"SCAP",3701.52817093796,-1.28017031399784,0.267980993284701,-4.77709369723023,1.77846916909207e-06,0.00143986410424624,5.74995365918736,"DOWN"
"TBC1D5",2153.03578842825,-1.65332121189943,0.347374777151346,-4.75947397637079,1.94098148095984e-06,0.00150595900653971,5.71197860822592,"DOWN"
"C1orf87",13.3501848145844,-7.20682347532406,1.52070420459292,-4.73913562779507,2.14631813317167e-06,0.00159866359831158,5.66830590527735,"DOWN"
"SSPO",102.978542153796,-1.94372589864256,0.423359739330358,-4.59119211882787,4.40721412582923e-06,0.00315641285527177,5.35583584864893,"DOWN"
"AF015262.1",23.0125065741344,-3.69831817228219,0.808583480634391,-4.57382355793442,4.78903181925884e-06,0.0032299150625191,5.3197522774108,"DOWN"
"AC011481.3",37.6475770401388,-3.47429122304531,0.763426176926266,-4.55091969341898,5.34119327760502e-06,0.00342959862145804,5.27236170627003,"DOWN"
"SV2C",42.332743090907,-4.25335376152353,0.936690376293318,-4.54083213532625,5.60326322950477e-06,0.00347794548655361,5.25155897481315,"DOWN"
"AP001528.2",47.5571820210251,-2.48449444866932,0.558800353827019,-4.44612182446544,8.74343770327795e-06,0.00493368343856784,5.05831777994854,"DOWN"
"CYP2W1",86.1065075133389,-3.10191136270214,0.707532453714851,-4.38412591028972,1.16452408362992e-05,0.00609360637458623,4.93385152535221,"DOWN"
"LINC00598",26.3890850820513,-2.88999987428878,0.659913107702322,-4.37936425350172,1.19026037205553e-05,0.00609360637458623,4.92435802534864,"DOWN"
"LRRC75A",261.575704733242,-1.95948755937978,0.452336159740026,-4.33192774264601,1.47809454685623e-05,0.00724305225184468,4.83029778524791,"DOWN"
"CFH",1630.24634356613,-2.72033948654503,0.636585774620543,-4.27332748389889,1.92577293610967e-05,0.00874629703495076,4.71539492095395,"DOWN"
"ACE2",19.079412413531,-3.41590055873988,0.804861991156433,-4.24408233495023,2.19489758723815e-05,0.00973123523141941,4.65858573890021,"DOWN"
"NR1H4",68.8461547738149,-3.34788423538146,0.797286332669423,-4.19909899141541,2.67979156652568e-05,0.0114719994416312,4.57189898396674,"DOWN"
"REEP1",54.1429721645324,-3.38242316064586,0.80601102381765,-4.19649739357794,2.71074580007397e-05,0.0114719994416312,4.56691120643327,"DOWN"
"CCN5",5685.14316323744,-2.70296994258204,0.648486644926341,-4.16811967328804,3.07122685249051e-05,0.012539880149272,4.51268810373076,"DOWN"
"LPAR3",116.461691644195,-2.37855160922077,0.570922112268456,-4.16615779649877,3.09776320748893e-05,0.012539880149272,4.50895178270698,"DOWN"
"ACCS",549.942743178343,-1.26942564421577,0.305341073391407,-4.15740218017943,3.21887030604012e-05,0.0127528902061219,4.49229652145226,"DOWN"
"TMED8",1728.53488093465,-1.26428451016548,0.304666156474274,-4.14973728882892,3.3285707554435e-05,0.0129127741743986,4.47774220681444,"DOWN"
"APOC1",2325.51678182283,-2.26142075993199,0.546299657714907,-4.13952439470892,3.48026592806162e-05,0.0132257207849868,4.45838757022661,"DOWN"
"ITPR1",2536.41591949381,-1.35703231201514,0.329798249690001,-4.11473473037137,3.87624928932888e-05,0.0144359276033186,4.41158830037811,"DOWN"
"THSD7A",48.7521256016546,-3.1075572669363,0.756419973395053,-4.10824327256801,3.98680043390705e-05,0.0145565119372124,4.39937550314426,"DOWN"
"CCDC69",4637.00964222344,-1.44606518041282,0.357679929413729,-4.04290277842275,5.27935150020522e-05,0.0182882596737257,4.27741942162899,"DOWN"
"PRKAR1A",9249.90994820541,-1.09620411299585,0.272409997421502,-4.02409648460766,5.71944669899563e-05,0.0193639667239996,4.24264598295449,"DOWN"
"LINC00607",24.740319245352,-2.79509748086578,0.697215117773743,-4.00894560317442,6.0990462576524e-05,0.0202804179220974,4.21473807276347,"DOWN"
"AC073957.3",231.200833280984,-1.10442313558666,0.276051465731076,-4.0007870730256,6.31321466414867e-05,0.0204441934210374,4.19974944338764,"DOWN"
"THSD7B",7.24280510442595,-6.32402239280795,1.58150116694351,-3.99874658646636,6.36788152311996e-05,0.0204441934210374,4.19600502541076,"DOWN"
"FN3K",218.986501594307,-1.55696132103196,0.39120412922318,-3.97992046792462,6.89383278401105e-05,0.0217576373340796,4.16153925499567,"DOWN"
"GLDN",481.946640225054,-2.46455225977673,0.624612125061146,-3.94573233674492,7.95564467940838e-05,0.0242457446482862,4.09932462187971,"DOWN"
"CHGB",226.819623729077,-2.14967764597439,0.545147303650129,-3.94329685129295,8.03690729844177e-05,0.0242457446482862,4.09491104100489,"DOWN"
"LIMCH1",428.478026373857,-2.35797240193904,0.59839904786906,-3.94046817142497,8.13227407061627e-05,0.0242457446482862,4.08978799337013,"DOWN"
"C4orf50",29.8587395043851,-2.1784257441262,0.553125910741868,-3.93839034082572,8.20300688922201e-05,0.0242457446482862,4.08602692371054,"DOWN"
